Date,Name,type,brewery,Rating,Price ,Ml,Abv,# beers prior,Service ,Weather,Food,storage,venue,Notes 
2017-06-01,The Kalash,Imperial Stout,hop nation,4,18,500,10.2,0,1,Cold,0,,,
2017-07-01,Munich Dunkel ,Munich Dunkel ,stomping grounds,4,,568,,,,,0,,,
2017-07-20,boilermaker,Whiskey Stout,Forrest Brewing company ,1,15,100,7.3,1,1,Cool,1,tap,forrest brewing company,medicinal nose and taste
2017-07-20,Pobblebonk,Saison,Forrest Brewing company ,2,7.5,100,7,0,1,Cool,0,tap,forrest brewing company,tasty for a saison
2017-07-20,imperial stout,imperial stout,cavalier,2,8.5,,8,1,. ,Warm,1,,,a bit bitter 
2017-07-20,Cherry vanilla ,Porter,Forrest Brewing company ,2,10,100,5,0.6,1,Cool,1,tap,forrest brewing company,Almost no flavour 
2017-07-20,roadknight,English Strong Ale,Forrest Brewing company ,2,15,100,6.5,0.4,1,Cool,1,tap,forrest brewing company,not great not bad 
2017-07-20,stout,Oatmeal Stout,Forrest Brewing company ,3,10,100,4.5,0.8,1,Cool,1,tap,forrest brewing company,good standard stout flavour 
2017-07-20,Untamed turkey,Double IPA,Forrest Brewing company ,3,15,100,7.5,0.2,1,Cool,0,tap,forrest brewing company,surprisingly tasty 
2017-07-20,block splitter ,Imperial stout,Forrest Brewing company ,3,15,,9,1.2,1,Cool,1,tap,forrest brewing company,standard flavour with almost fruity hint 
2017-07-21,The Kalash,Imperial Stout,hop nation,4,20,500,10.2,0,1,Cold ,1,,,"great nose, smooth complex flavour "
2017-07-22,The Kalash,Imperial Stout,hop nation,4,18,500,10.2,0,. ,Warm,1,,,better out on tap
2017-07-31,pale ale ,pale ale,mornington,3,10,,4.7,0,1,cool,1,,,"fruity initial smell and taste, lingering hoppiness"
2017-08-02,dubbel life,belgian dubbel,red hill,3,14,,7.3,0,1,cool,0,,,"savoury flavour, typical Belgian flavour "
2017-08-07,golden ,golden ale,two birs,2,5,,4.4,0,. ,2,1,,,"solid drink, nothing amazing "
2017-08-07,konig pilsner,pilsner,konig,2,9,,4.4,1,1,warm,1,,,very beery
2017-08-10,stillwater,imperial stout ,stillwater,3,11,,10,0,.,cool,1,,,
2017-08-13,Roger ramjet ,imperial stout ,boat rocker ,4,17,330,11.2,0,1,cool,1,bottle,,very smooth
2017-08-14,black metal disco,stout,black metal disco,3,10,500,5.4,0,.,cool,1,,,drinkable
2017-08-17,wild saison,saison,la sirene,2,12,,6.5,0,.,cool,0,,,"coppery smell, citrus flavours"
